NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
HD 159243 c,1.9,0.804743,248.4,0.075,69,2456484,56.6,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
Kepler-1477 b,,0.0932443,11.55530021,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-87 c,,0.67057,191.2318,0.039,223.2,2456193.705981,,Ofir 2014,http://adsabs.harvard.edu/abs/2013arXiv1310.2064O,Ofir 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.2064O
Kepler-105 c,,0.0724716,7.125939,,90,2454972.00421,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-98 b,0.828342,0.0356868,2.96264,0,90,2456333.3913,150,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H
Kepler-1547 b,,0.0159157,0.69297968,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-195 c,,0.205786,34.096863,,90,2454986.81712,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
GJ 3470 b,0.0439856,0.0356088,3.336649,0,90,2456340.72559,9.01,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B
K2-22 b,,0.00867627,0.381078,,,,,Sanchis-Ojeda 2015,http://adsabs.harvard.edu/abs/2015ApJ...812..112S,Sanchis-Ojeda 2015,http://adsabs.harvard.edu/abs/2015ApJ...812..112S
Kepler-696 b,,0.0518657,4.19042557,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1133 b,,0.0976404,11.55562343,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
